Mnis Id,Member,Party,Donations Penalty,Employment Penalty,Gifts Penalty,Overseas Penalty,Property Penalty,Shareholdings Penalty,Family Penalty,Miscellaneous Penalty,Raw Interest Penalty,Concentration Penalty,Rectification Count,Transparency Penalty,Total Raw Penalty,Calibration K,Final Score,Grade
4831,Ian Byrne,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,15.75,29.75,3.0,0,0.0,32.75,81.0,71.20879120879121,B-
4820,Ms Abena Oppong-Asare,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.75,23.75,10.0,0,0.0,33.75,81.0,70.58823529411764,B-
4391,Judith Cummins,,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,24.0,10.0,0,0.0,34.0,81.0,70.43478260869564,B-
4654,Matt Rodda,,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,10.0,0,0.0,34.0,81.0,70.43478260869564,B-
4268,Steve Reed,,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,0,0.0,35.0,81.0,69.82758620689656,C+
3914,Shabana Mahmood,,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,10.0,0,0.0,35.5,81.0,69.52789699570816,C+
3952,Mr Toby Perkins,,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,27.0,10.0,0,0.0,37.0,81.0,68.64406779661017,C+
5000,Alistair Strathern,,0.0,0.0,0.0,5.25,0.0,0.0,0.0,24.0,29.25,8.0,0,0.0,37.25,81.0,68.49894291754757,C+
4267,Sarah Champion,,0.0,0.0,6.0,20.25,0.0,0.0,0.0,8.0,34.25,3.0,0,0.0,37.25,81.0,68.49894291754757,C+
4519,James Cartlidge,,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,10.0,0,0.0,38.0,81.0,68.0672268907563,C+
4777,Sarah Owen,,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,28.0,10.0,0,0.0,38.0,81.0,68.0672268907563,C+
4571,Gill Furniss,,0.0,0.0,0.0,0.0,0.0,0.0,24.0,6.25,30.25,8.0,0,0.0,38.25,81.0,67.92452830188678,C+
1548,Jessica Morden,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.25,29.25,10.0,0,0.0,39.25,81.0,67.35966735966737,C+
4139,Ian Lavery,,9.75,0.0,0.0,0.0,0.0,0.0,24.0,0.0,33.75,6.0,0,0.0,39.75,81.0,67.08074534161491,C+
4799,Charlotte Nichols,,0.0,0.0,0.0,31.5,0.0,0.0,0.0,0.0,31.5,10.0,0,0.0,41.5,81.0,66.12244897959184,C+
4269,Andy McDonald,,0.0,0.0,24.0,0.0,0.0,0.0,0.0,12.0,36.0,6.0,0,0.0,42.0,81.0,65.85365853658536,C+
1533,Dame Diana Johnson,,0.0,0.0,0.0,0.0,0.0,0.0,24.0,12.0,36.0,6.0,0,0.0,42.0,81.0,65.85365853658536,C+
1409,Mr Gregory Campbell,,0.0,0.0,0.0,0.0,0.0,0.0,24.0,12.0,36.0,6.0,0,0.0,42.0,81.0,65.85365853658536,C+
